.	10	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	10	485538	485574	485938	493949	576933	577712	815489	858559	1018872	1021565	1022178	1072554	1134723	1246121	1300957	1342151	1527633	1559721	1606735	1729048	1783622	2006142	2096315	2765374	2891572	3049480	3828791	4270590	5293531	6811121	7303221	13630928	13855124	17896949	20798504	34972048	35378350	36344556	
.	11	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	11	511169	511242	511768	521524	619162	620538	892131	939979	1112773	1115683	1116442	1169072	1240379	1361893	1427098	1471361	1653976	1693051	1742047	1877869	1935004	2172254	2270464	2973701	3076292	3240681	4037627	4488257	5503648	7006585	7501424	13750118	13986520	17933675	20792395	34977844	35389538	36344556	
.	12	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	12	549443	549518	550192	560576	657262	659426	919092	960706	1122335	1125338	1126221	1185261	1251634	1362665	1417863	1458643	1645678	1681205	1731748	1862545	1918045	2153525	2246386	2949850	3053820	3208390	3995671	4485093	5512071	6990317	7488648	13751852	13999377	17994515	20837168	34987597	35401467	36344556	
.	13	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	13	580458	580560	581798	593644	699830	703118	972017	1015492	1178846	1182213	1183407	1197073	1300424	1426720	1476712	1519143	1707090	1746110	1797976	1887763	1986685	2222387	2307635	3004923	3107953	3257851	3722875	4503426	5172844	6759416	7316805	11600746	13321880	14513810	18007274	20204540	26773237	36344556	
.	14	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	14	621178	621262	622695	634874	742224	747173	1014519	1059650	1214928	1218331	1219818	1237731	1347424	1460537	1512690	1559771	1748389	1794547	1853397	1950726	2063302	2307036	2398278	3099713	3220188	3392311	3871026	4684042	5370438	7036238	7564118	11855432	13621255	14779465	18380801	20380086	26963083	36344556	
.	15	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	15	665530	665659	667486	680402	792165	799670	1069325	1109067	1266772	1270418	1272287	1294213	1404417	1511895	1565613	1612242	1800866	1851154	1911675	2012850	2130272	2372184	2464000	3158329	3283718	3462627	3952761	4778969	5457950	7134390	7658223	11945120	13705025	14884561	18502432	20522297	27154873	36344556	
