.	0	2	10	11	16	19	20	22	23	24	25	26	27	28	30	31	32	33	34	
.	22	6552	6602	7754	9022	23085	28816	45321	48884	52288	54616	58176	69888	88453	94018	111289	122350	125473	145877	152764	183110	218543	277973	311026	395380	409040	472366	600846	739480	887159	1072087	1341100	1561618	2013444	2480893	3527278	4482417	6777983	10540378	
.	23	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	23	9026	9082	10522	11974	26597	33270	48569	51875	55523	58109	61827	75090	93479	98979	114643	126024	129708	151576	159088	189790	226893	285524	319628	400245	415009	478761	613536	754394	897674	1087129	1353906	1589448	2036447	2511925	3576010	4516517	6805924	10540378	
.	24	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	24	11672	11742	13569	15530	31683	39766	54579	57661	61531	64246	68172	83831	102859	108416	124074	136201	140853	165646	173894	205917	246585	306332	343096	424467	440808	507350	649968	796574	940553	1139446	1406623	1660731	2109845	2587952	3675928	4601846	6888363	10540378	
.	25	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	25	15321	15446	18382	21612	44839	57898	74711	78624	82922	85960	90895	109226	128256	133890	149204	161807	167202	193098	202091	233603	275600	334396	372051	448138	465652	531902	678717	826465	966789	1170989	1434690	1704265	2147681	2632624	3730874	4658808	6957795	10540378	
.	26	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	26	19739	19925	23345	26970	49914	63857	79146	83023	87991	91713	97318	117899	136874	142648	156429	168732	175525	202704	212773	244090	286601	345269	384919	457623	476707	542926	694415	842359	979642	1188122	1446214	1733587	2168681	2658704	3762756	4688328	7014839	10540378	
.	27	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	27	22829	23045	27293	31833	56159	72191	86086	89854	95442	99638	105656	128322	147276	153051	166695	179868	187949	217576	228505	260950	305629	363791	406684	478820	500703	569128	724949	877390	1015059	1234410	1492064	1797529	2230373	2728174	3843042	4757194	7086149	10540378	
.	28	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	28	27660	27908	32842	38168	62600	79639	92046	95715	102109	106830	113448	137296	155026	160270	173532	186895	196427	227798	239983	272503	319023	376331	421423	491731	515826	585366	744411	900148	1037178	1264463	1521336	1845491	2277626	2783252	3907891	4822168	7158713	10540378	
.	29	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	29	29964	30240	36200	42493	67680	85861	96982	100616	107381	112502	119683	145687	163151	168009	181710	196007	206741	236747	250421	287640	335778	392310	440804	511441	538957	610525	772321	933008	1072892	1311423	1569370	1913252	2344688	2861399	3995361	4907680	7233079	10540378	
.	30	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	30	33997	34330	40860	48307	73347	92483	103382	107361	115199	121253	129645	156442	172927	177331	191334	206077	216168	246524	265455	300037	352092	408128	457635	527759	562830	629433	794377	965064	1105660	1350619	1599014	1983724	2406416	2922661	4088799	5006865	7324073	10540378	
.	31	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	31	37364	37766	45542	53649	78262	97799	107503	111628	120078	126622	135536	162629	177595	181780	195863	211457	222963	255003	275236	310952	363938	417885	470871	540010	579037	647709	812715	988647	1133160	1389768	1640665	2044884	2471256	3000527	4173370	5101754	7408591	10540378	
.	32	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
